"","date","mosul","ilisu"
"1",1902-01-01,1.61730110645294,1.95523166656494
"2",1902-02-01,1.05493223667145,1.61490046977997
"3",1902-03-01,1.22544312477112,1.71281456947327
"4",1902-04-01,0.944621801376343,1.60616266727448
"5",1902-05-01,0.595149517059326,1.05858623981476
"6",1902-06-01,0.285006433725357,0.524127423763275
"7",1902-07-01,0.320543229579926,0.664983332157135
"8",1902-08-01,0.14984267950058,0.272946894168854
"9",1902-09-01,0.139959082007408,0.246592059731483
"10",1902-10-01,0.148897379636765,0.380813449621201
"11",1902-11-01,1.20228958129883,2.13632464408875
"12",1902-12-01,1.59019529819489,2.53716063499451
"13",1903-01-01,1.14573562145233,1.71145391464233
"14",1903-02-01,0.690961956977844,1.28680408000946
"15",1903-03-01,0.579826414585114,1.10559713840485
"16",1903-04-01,0.395713329315186,0.87244063615799
"17",1903-05-01,0.452662914991379,0.939484357833862
"18",1903-06-01,0.262731462717056,0.586096584796906
"19",1903-07-01,0.114527888596058,0.254447817802429
"20",1903-08-01,0.108586683869362,0.244363978505135
"21",1903-09-01,0.0919575989246368,0.191909998655319
"22",1903-10-01,0.105774790048599,0.217402160167694
"23",1903-11-01,0.180136755108833,0.471555352210999
"24",1903-12-01,0.16797037422657,0.577979266643524
"25",1904-01-01,0.204288452863693,0.673688530921936
"26",1904-02-01,0.341955006122589,1.00165998935699
"27",1904-03-01,0.638802826404572,1.38792598247528
"28",1904-04-01,0.493472993373871,1.01845288276672
"29",1904-05-01,0.465160101652145,0.942787528038025
"30",1904-06-01,0.320058852434158,0.664262592792511
"31",1904-07-01,0.165623888373375,0.32596430182457
"32",1904-08-01,0.132618635892868,0.243123650550842
"33",1904-09-01,0.20714870095253,0.3520467877388
"34",1904-10-01,0.13833723962307,0.33814924955368
"35",1904-11-01,1.29600870609283,2.38294696807861
"36",1904-12-01,1.73322200775146,2.59409475326538
"37",1905-01-01,1.53420257568359,2.88022780418396
"38",1905-02-01,0.801218509674072,1.32754147052765
"39",1905-03-01,0.650183916091919,0.907096207141876
"40",1905-04-01,0.906749069690704,1.95797693729401
"41",1905-05-01,0.62601900100708,1.67000830173492
"42",1905-06-01,0.408329457044601,1.0668466091156
"43",1905-07-01,0.188832476735115,0.42816898226738
"44",1905-08-01,0.0699517130851746,0.0842668116092682
"45",1905-09-01,0.0895144268870354,0.122708402574062
"46",1905-10-01,0.144318968057632,0.501020669937134
"47",1905-11-01,0.20944944024086,0.412544578313828
"48",1905-12-01,0.418158322572708,1.37405276298523
"49",1906-01-01,0.599950671195984,1.45611572265625
"50",1906-02-01,0.379910081624985,0.678743779659271
"51",1906-03-01,0.839967906475067,1.54057097434998
"52",1906-04-01,0.645309805870056,1.01556611061096
"53",1906-05-01,0.769020020961761,0.842330873012543
"54",1906-06-01,0.364590287208557,0.621360421180725
"55",1906-07-01,0.225560307502747,0.340658098459244
"56",1906-08-01,0.112778842449188,0.223909005522728
"57",1906-09-01,0.182147607207298,0.489907115697861
"58",1906-10-01,0.232670649886131,0.861602485179901
"59",1906-11-01,0.666649639606476,1.30487203598022
"60",1906-12-01,0.837928831577301,2.21278309822083
"61",1907-01-01,1.55664753913879,2.9846715927124
"62",1907-02-01,0.99980765581131,1.58699679374695
"63",1907-03-01,2.1047842502594,1.31156349182129
"64",1907-04-01,1.97511804103851,2.12225818634033
"65",1907-05-01,0.639254987239838,0.80514657497406
"66",1907-06-01,0.317025512456894,0.334965199232101
"67",1907-07-01,0.216314718127251,0.168810188770294
"68",1907-08-01,0.186659753322601,0.0894355252385139
"69",1907-09-01,0.632927060127258,0.189128145575523
"70",1907-10-01,0.20318628847599,0.120926283299923
"71",1907-11-01,0.157693222165108,0.0911520794034004
"72",1907-12-01,0.793859302997589,0.568401396274567
"73",1908-01-01,1.63073837757111,1.00281322002411
"74",1908-02-01,2.92758274078369,1.34832501411438
"75",1908-03-01,1.28723812103271,0.796814620494843
"76",1908-04-01,0.659684538841248,0.595723092556
"77",1908-05-01,0.309982001781464,0.4561567902565
"78",1908-06-01,0.247232213616371,0.351124167442322
"79",1908-07-01,0.19009630382061,0.241408124566078
"80",1908-08-01,0.0993024036288261,0.134810015559196
"81",1908-09-01,0.0791835859417915,0.128026261925697
"82",1908-10-01,0.0670574903488159,0.219450935721397
"83",1908-11-01,0.392788112163544,0.535637021064758
"84",1908-12-01,1.00203549861908,0.797681391239166
"85",1909-01-01,0.622144639492035,0.453390836715698
"86",1909-02-01,1.00975954532623,0.371339499950409
"87",1909-03-01,0.981067657470703,0.802352070808411
"88",1909-04-01,0.61179792881012,0.575162053108215
"89",1909-05-01,0.327046066522598,0.275478065013885
"90",1909-06-01,0.312070667743683,0.312379240989685
"91",1909-07-01,0.0991673767566681,0.122334994375706
"92",1909-08-01,0.120960645377636,0.144395679235458
"93",1909-09-01,0.0919996947050095,0.117502503097057
"94",1909-10-01,0.146486505866051,0.0945622771978378
"95",1909-11-01,3.23365473747253,1.13202285766602
"96",1909-12-01,1.08530390262604,0.806378781795502
"97",1910-01-01,0.695831835269928,0.768307447433472
"98",1910-02-01,0.412748575210571,0.467463701963425
"99",1910-03-01,0.246815741062164,0.336956918239594
"100",1910-04-01,0.299797296524048,0.514068007469177
"101",1910-05-01,0.212620064616203,0.427162855863571
"102",1910-06-01,0.108702145516872,0.501626670360565
"103",1910-07-01,0.0816670209169388,0.304825663566589
"104",1910-08-01,0.0752407312393188,0.12854528427124
"105",1910-09-01,0.0785175561904907,0.121874623000622
"106",1910-10-01,0.488919854164124,0.319429457187653
