

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Iraq",103,"Long-term average annual precipitation in volume",4150,1987,94.68,"K","",""
"Iraq",103,"Long-term average annual precipitation in volume",4150,1992,94.68,"K","",""
"Iraq",103,"Long-term average annual precipitation in volume",4150,1997,94.68,"K","",""
"Iraq",103,"Long-term average annual precipitation in volume",4150,2002,94.68,"K","",""
"Iraq",103,"Long-term average annual precipitation in volume",4150,2007,94.68,"K","",""
"Iraq",103,"Long-term average annual precipitation in volume",4150,2012,94.01,"K","",""
"Iraq",103,"Long-term average annual precipitation in volume",4150,2017,93.97,"K","",""
"Iraq",103,"Surface water produced internally",4155,1987,34.0,"","",""
"Iraq",103,"Surface water produced internally",4155,1992,34.0,"","",""
"Iraq",103,"Surface water produced internally",4155,1997,34.0,"","",""
"Iraq",103,"Surface water produced internally",4155,2002,34.0,"","",""
"Iraq",103,"Surface water produced internally",4155,2007,34.0,"","",""
"Iraq",103,"Surface water produced internally",4155,2012,34.0,"","",""
"Iraq",103,"Surface water produced internally",4155,2017,34.0,"","",""
"Iraq",103,"Groundwater produced internally",4154,1987,3.2,"","",""
"Iraq",103,"Groundwater produced internally",4154,1992,3.2,"","",""
"Iraq",103,"Groundwater produced internally",4154,1997,3.2,"","",""
"Iraq",103,"Groundwater produced internally",4154,2002,3.2,"","",""
"Iraq",103,"Groundwater produced internally",4154,2007,3.2,"","",""
"Iraq",103,"Groundwater produced internally",4154,2012,3.2,"","",""
"Iraq",103,"Groundwater produced internally",4154,2017,3.2,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,1987,2.0,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,1992,2.0,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,1997,2.0,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,2002,2.0,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,2007,2.0,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,2012,2.0,"","",""
"Iraq",103,"Overlap between surface water and groundwater",4156,2017,2.0,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,1987,35.2,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,1992,35.2,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,1997,35.2,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,2002,35.2,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,2007,35.2,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,2012,35.2,"","",""
"Iraq",103,"Total internal renewable water resources (IRWR)",4157,2017,35.2,"","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,1987,2161.0,"K","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,1992,1907.0,"K","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,1997,1637.0,"K","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,2002,1411.0,"K","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,2007,1240.0,"K","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,2012,1074.0,"K","",""
"Iraq",103,"Total internal renewable water resources per capita",4158,2017,919.7,"K","",""
"Iraq",103,"Surface water: entering the country (total)",4159,1987,61.33,"","[1]",""
"Iraq",103,"Surface water: entering the country (total)",4159,1992,61.33,"","[2]",""
"Iraq",103,"Surface water: entering the country (total)",4159,1997,61.33,"","[3]",""
"Iraq",103,"Surface water: entering the country (total)",4159,2002,61.33,"","[4]",""
"Iraq",103,"Surface water: entering the country (total)",4159,2007,61.33,"","[5]",""
"Iraq",103,"Surface water: entering the country (total)",4159,2012,61.33,"","[6]",""
"Iraq",103,"Surface water: entering the country (total)",4159,2017,61.33,"","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,1987,45.58,"I","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,1992,45.58,"I","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,1997,45.58,"I","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,2002,45.58,"I","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,2007,45.58,"I","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,2012,45.58,"I","",""
"Iraq",103,"Surface water: inflow not submitted to treaties",4160,2017,45.58,"I","",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,1987,15.75,"I","[7]",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,1992,15.75,"I","[8]",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,1997,15.75,"I","[9]",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,2002,15.75,"I","[10]",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,2007,15.75,"I","[11]",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,2012,15.75,"I","[12]",""
"Iraq",103,"Surface water: inflow submitted to treaties",4161,2017,15.75,"I","",""
"Iraq",103,"Surface water: inflow secured through treaties",4162,1987,9.0,"","",""
"Iraq",103,"Surface water: inflow secured through treaties",4162,1992,9.0,"","",""
"Iraq",103,"Surface water: inflow secured through treaties",4162,1997,9.0,"","",""
"Iraq",103,"Surface water: inflow secured through treaties",4162,2002,9.0,"","",""
"Iraq",103,"Surface water: inflow secured through treaties",4162,2007,9.0,"","",""
"Iraq",103,"Surface water: inflow secured through treaties",4162,2012,9.0,"","",""
